Open,High,Low,Close,Volume,Time,Base Value
0.23973,0.24087,0.2395,0.2395,35652.85091271,2020-11-05T06:00:00,8543.63231125
0.2395,0.2395,0.23906,0.23906,10269.07571272,2020-11-05T07:00:00,2459.35104083
0.23917,0.23917,0.23809,0.23897,14656.43175451,2020-11-05T08:00:00,3490.13481371
0.23897,0.23897,0.2379,0.23852,6943.61549316,2020-11-05T09:00:00,1654.48404696
0.23838,0.23879,0.23753,0.23879,24635.71873787,2020-11-05T10:00:00,5876.70110891
0.23949,0.23954,0.23838,0.23942,125590.63994486,2020-11-05T11:00:00,30070.69092495
0.23942,0.23942,0.23801,0.23834,59724.9861423,2020-11-05T12:00:00,14246.27460914
0.23801,0.24423,0.23774,0.24182,106702.93274928,2020-11-05T13:00:00,25641.53793526
0.2425,0.24578,0.24228,0.24578,31545.0575041,2020-11-05T14:00:00,7718.30655539
0.24578,0.246,0.244,0.245,79545.71440163,2020-11-05T15:00:00,19470.53824487
0.2458,0.24706,0.24523,0.24538,30952.56204725,2020-11-05T16:00:00,7613.6321839
0.24536,0.24577,0.24225,0.24282,108092.65618323,2020-11-05T17:00:00,26389.39291346
0.24465,0.24506,0.24431,0.24506,8349.23306154,2020-11-05T18:00:00,2041.77539163
0.24419,0.24507,0.24419,0.24438,7236.92791366,2020-11-05T19:00:00,1771.81747156
0.24529,0.24598,0.24433,0.24598,10202.29719069,2020-11-05T20:00:00,2503.46082213
0.24516,0.24599,0.245,0.245,61324.14961603,2020-11-05T21:00:00,15041.48095215
0.24551,0.24691,0.24551,0.24594,30238.85543921,2020-11-05T22:00:00,7456.62082284
0.24591,0.247,0.24503,0.24566,26367.92811115,2020-11-05T23:00:00,6500.72739232
0.24541,0.25091,0.24541,0.25002,283714.77880036,2020-11-06T00:00:00,70807.44353346
0.24925,0.252,0.24907,0.25177,120380.46177878,2020-11-06T01:00:00,30032.14414517
0.25159,0.25399,0.25001,0.25133,72800.97794273,2020-11-06T02:00:00,18360.11364522
0.2498,0.2505,0.249,0.24921,14885.25605209,2020-11-06T03:00:00,3714.51868191
0.24932,0.25003,0.24932,0.2496,31209.37767199,2020-11-06T04:00:00,7801.01255509
0.24961,0.25145,0.24951,0.25042,47613.36857102,2020-11-06T05:00:00,11938.22183973
0.2515,0.253,0.25053,0.25299,51640.195179,2020-11-06T06:00:00,12986.42266375
0.25299,0.25464,0.25293,0.25464,38830.04876698,2020-11-06T07:00:00,9843.13873034
0.255,0.25539,0.25157,0.25157,102875.66566246,2020-11-06T08:00:00,26126.9917187
0.25157,0.25312,0.25037,0.25312,82652.42437357,2020-11-06T09:00:00,20833.09621458
0.2535,0.25996,0.2535,0.25951,49447.97490041,2020-11-06T10:00:00,12718.18443339
0.25948,0.2596,0.25616,0.2596,73640.55284299,2020-11-06T11:00:00,19001.77035421
0.25875,0.25889,0.25658,0.25658,31139.87841409,2020-11-06T12:00:00,8032.22256443
0.25894,0.26197,0.2583,0.26197,87912.06900578,2020-11-06T13:00:00,22830.50045118
0.26101,0.26115,0.25799,0.258,153265.57203714,2020-11-06T14:00:00,39891.67734053
0.25802,0.2587,0.25542,0.25678,36141.76304254,2020-11-06T15:00:00,9300.00962757
0.25721,0.25994,0.25617,0.2592,59394.68323687,2020-11-06T16:00:00,15409.29871356
0.25933,0.26,0.25853,0.25853,40596.49409325,2020-11-06T17:00:00,10548.54404306
0.25801,0.25863,0.25801,0.25863,15082.32306142,2020-11-06T18:00:00,3895.66581558
0.25805,0.2589,0.25609,0.25751,47939.46699801,2020-11-06T19:00:00,12316.76894798
0.25751,0.25751,0.25091,0.25433,102961.46282111,2020-11-06T20:00:00,26095.34333122
0.255,0.25683,0.255,0.25521,12981.5873149,2020-11-06T21:00:00,3315.66668658
0.25521,0.2595,0.25521,0.2595,11716.52077096,2020-11-06T22:00:00,3005.6801581
0.25985,0.26,0.25825,0.25944,9939.78923128,2020-11-06T23:00:00,2572.51481022
0.25944,0.26328,0.25944,0.26328,30239.96727421,2020-11-07T00:00:00,7943.83055905
0.26329,0.26703,0.26167,0.26666,306382.12072383,2020-11-07T01:00:00,81019.67733515
0.26666,0.26767,0.26501,0.2655,126823.97312787,2020-11-07T02:00:00,33830.65338979
0.266,0.267,0.2645,0.2645,35149.42109422,2020-11-07T03:00:00,9376.487933
0.26518,0.26594,0.26295,0.26349,25379.25982626,2020-11-07T04:00:00,6685.71127603
0.26349,0.26431,0.263,0.26397,36990.15422547,2020-11-07T05:00:00,9744.96167276
0.26297,0.26434,0.2615,0.26434,236944.41470634,2020-11-07T06:00:00,61999.49791252
0.26432,0.26432,0.26228,0.26228,14633.47985986,2020-11-07T07:00:00,3848.96351329
0.2625,0.26336,0.26147,0.26332,39427.8449274,2020-11-07T08:00:00,10350.44157908
0.26386,0.26386,0.26384,0.26384,2801.1075395,2020-11-07T09:00:00,739.0598728
0.26255,0.26337,0.26147,0.26295,26786.13420393,2020-11-07T10:00:00,7025.86588162
0.26308,0.265,0.26235,0.26446,22448.11849381,2020-11-07T11:00:00,5915.97320248
0.265,0.266,0.26311,0.26516,224727.12751334,2020-11-07T12:00:00,59492.03926848
